factor,type,impl,ic_fwd_1d,pval_fwd_1d,n_fwd_1d,trig_count,ic_fwd_7d,pval_fwd_7d,n_fwd_7d,ic_fwd_30d,pval_fwd_30d,n_fwd_30d,n_long_signals,n_short_signals,hit_rate_long_30d,hit_rate_short_30d
cap_048_ict_breaker_block,structural_bias,approx,0.0004332642929446328,0.9800788235446274,3324,23.0,0.016034344555521666,0.3571479643781279,3300,0.006529105073633364,0.7116334793177138,3208,0,23,,0.6956521739130435
cap_049_ict_fair_value_gap,structural_bias,approx,-0.04426892127699482,0.010692895783339425,3324,675.0,-0.018914734805862345,0.27736649583952133,3300,0.017262437767595985,0.32835997725259364,3208,358,317,0.4888268156424581,0.49842271293375395
cap_065_btcd_shift,structural_bias,mock,,,0,,,,0,,,0,0,0,,
cap_hh_defense,structural_bias,approx,0.010297670784919248,0.5528493943484348,3324,1170.0,0.02195272076567111,0.20739462605733233,3300,0.02957953647017466,0.09391949173208088,3208,1170,0,0.4965811965811966,
cap_001_falling_wedge_breakout,pattern_setup,approx,-0.04592940425706379,0.008086850711693874,3324,17.0,-0.049494367629148384,0.0044564928064709,3300,0.005565838314863065,0.7526673071226377,3208,17,0,0.47058823529411764,
cap_002_rising_wedge_breakdown,pattern_setup,approx,0.02711449090821029,0.11806151984188125,3324,14.0,0.010297256958424362,0.5543033863723369,3300,0.029142894446534583,0.09887388295834391,3208,0,14,,0.7142857142857143
cap_003_bull_flag,pattern_setup,approx,0.028821239447071993,0.09663636264034896,3324,4.0,-0.002550687824973373,0.8835499081502713,3300,0.028548727285677575,0.10594809466957392,3208,4,0,0.75,
cap_004_bear_flag,pattern_setup,approx,-0.01125116484807246,0.5166921352782261,3324,2.0,-0.017022453424185284,0.32828909121548405,3300,,,0,0,0,,
cap_005_head_shoulders_top,pattern_setup,approx,,,0,,,,0,,,0,0,0,,
cap_006_inverse_head_shoulders,pattern_setup,approx,,,0,,,,0,,,0,0,0,,
cap_007_double_top,pattern_setup,approx,,,0,,,,0,,,0,0,0,,
cap_008_double_bottom,pattern_setup,approx,,,0,,,,0,,,0,0,0,,
cap_009_cup_and_handle,pattern_setup,approx,-0.024019206768567055,0.16620981066467888,3324,4.0,-0.008657711004479512,0.6190702135449663,3300,-0.008794496009821157,0.6185342264730518,3208,4,0,0.25,
cap_010_ascending_triangle,pattern_setup,approx,,,0,,,,0,,,0,0,0,,
cap_011_descending_triangle,pattern_setup,approx,,,0,,,,0,,,0,0,0,,
