handle,school,bias_default,ic_30d,pval,n_obs,mean_signal,std_signal,long_signal_days,short_signal_days,hit_long_30d,hit_short_30d
MMCrypto,mixed,long_tilted,0.0848831704060684,0.01613036584006125,803,0.05395602095661125,0.09717033470271806,344,5,0.5436046511627907,1.0
iamjosephyoung,content_creator,long_tilted,0.08166937802931545,0.020637670686927054,803,0.06760786405048055,0.09594235069115555,373,1,0.5576407506702413,0.0
VentureCoinist,mixed,long_tilted,0.08031570626760134,0.02284247643815019,803,0.05342960787183181,0.13030071317566194,370,138,0.5486486486486486,0.6376811594202898
IamCryptoWolf,mixed,long_tilted,0.07838714848645763,0.02633505284373875,803,0.0385855343035187,0.06901158281304255,136,3,0.3897058823529412,1.0
ecoinometrics,mixed,long_tilted,0.07826384695500935,0.026573232918026216,803,0.07115863945376225,0.12649343796546156,376,113,0.5638297872340425,0.6106194690265486
Tradermayne,mixed,contrarian,0.0782368438245269,0.026625641743177577,803,0.030469184706287584,0.07347811745585144,156,72,0.46794871794871795,0.5277777777777778
rektcapital,cycle,long_tilted,0.07818984625054405,0.026717069160249105,803,0.040075210256060326,0.0812028458594755,165,23,0.41818181818181815,0.7391304347826086
milesdeutscher,mixed,long_tilted,0.07711763355787848,0.028877656663215755,803,0.05873505867704163,0.08804302991773612,266,4,0.48872180451127817,1.0
DrProfitCrypto,mixed,contrarian,0.07456094906294368,0.03464338456091687,803,0.021964852823051228,0.06937260385956262,153,5,0.41830065359477125,0.6
blockchainedbb,mixed,long_tilted,0.07424125692776934,0.035429113528464465,803,0.034684754804617815,0.05487753314978362,126,0,0.3412698412698413,
ki_young_ju,onchain,long_tilted,0.0730946666292766,0.038373170615704257,803,0.02335119077453358,0.06324371995679484,119,60,0.35294117647058826,0.5
CryptoMichNL,mixed,long_tilted,0.07167003682969364,0.0423179444166653,803,0.04009921373641188,0.0575779841123408,161,0,0.4161490683229814,
CryptoRover,content_creator,long_tilted,0.07131503875362252,0.04335257392808005,803,0.05831498642269141,0.08664149933157503,240,0,0.4666666666666667,
TylerSCrypto,content_creator,long_tilted,0.07074958575187527,0.04504458211076403,803,0.07561816593721368,0.1227640704472525,384,108,0.5442708333333334,0.6574074074074074
EmperorBTC,mixed,long_tilted,0.07027634439373266,0.046503069391859934,803,0.030176955942645363,0.07041449358957654,137,6,0.38686131386861317,0.8333333333333334
WhalePanda,mixed,contrarian,0.06721887309530035,0.056912155416621146,803,0.046719582168747824,0.10431280201582209,250,99,0.48,0.5555555555555556
Negentropic_,mixed,long_tilted,0.06674086326756515,0.05870250780764657,803,0.04832058903820202,0.05785378922456596,172,0,0.42441860465116277,
BullTheoryio,mixed,contrarian,0.06637919752334728,0.060087911048448496,803,0.05462918613603543,0.1312995658261154,415,107,0.5566265060240964,0.5233644859813084
Jamie1Coutts,mixed,long_tilted,0.06628814680871425,0.06044092345464265,803,0.037203124646213066,0.045813063106656594,82,0,0.3048780487804878,
algerstmehn,content_creator,long_tilted,0.05970889081102535,0.09086372170588787,803,0.07078960506031894,0.11289261635549724,429,0,0.5571095571095571,
LookOnChain,onchain,neutral,0.059615973478571595,0.09136840859188566,803,0.00011919825420403072,0.011623554072110152,0,0,,
IvanOnTech,content_creator,long_tilted,0.05923777622905439,0.09344586360432845,803,0.07894025813637767,0.10533268955904593,415,6,0.5542168674698795,0.6666666666666666
intocryptoverse,cycle,contrarian,0.056410651807558734,0.11019776053162014,803,0.052239329786029666,0.10808077939340614,371,96,0.5525606469002695,0.5416666666666666
LayahHeilpern,content_creator,long_tilted,0.05099964537684578,0.1487732029574293,803,0.06788868665580994,0.12283796983626905,392,93,0.5433673469387755,0.5483870967741935
Deltaking888,pure_TA,short_tilted,0.050413440505957745,0.1535047610785926,803,0.01354606109275771,0.08156689017961462,134,112,0.3805970149253731,0.5178571428571429
Jackyi_ld,mixed,long_tilted,0.04986279070729084,0.15805255027422432,803,0.04404404051310049,0.0826667329711938,188,77,0.3882978723404255,0.5454545454545454
TraderKoz,mixed,long_tilted,0.04953090537254576,0.16084234663426078,803,0.0368286570821074,0.06924062119704112,154,3,0.37662337662337664,1.0
scottmelker,mixed,long_tilted,0.048994601219406374,0.16542872063651604,803,0.05286014163823019,0.08124869306113584,162,2,0.4012345679012346,0.0
Kingpincrypto12,structural,long_tilted,0.04841267535452929,0.17051561491166362,803,0.018809073622789718,0.057282190194514804,44,14,0.36363636363636365,0.42857142857142855
StackerSatoshi,mixed,long_tilted,0.04517120842930336,0.20100738331393564,803,0.039838218178362354,0.07265166322171245,178,50,0.38764044943820225,0.5
PeterLBrandt,mixed,contrarian,0.04303291256086806,0.22318624599435322,803,0.011632494734074364,0.0445444616887458,13,3,0.3076923076923077,0.6666666666666666
hyblockcapital,derivatives,contrarian,0.04194360866931355,0.2351338802783306,803,-0.01097373485497386,0.033969172889962346,9,17,0.5555555555555556,0.47058823529411764
CryptoFaibik,pure_TA,long_tilted,0.03362477989635435,0.3412903722381705,803,0.019721194591640095,0.05031006174564429,114,0,0.32456140350877194,
CryptoTony__,mixed,long_tilted,0.030437549053288576,0.38903289159469434,803,0.03184455762410641,0.05383219817611378,127,2,0.33070866141732286,1.0
LedgerStatus,mixed,long_tilted,0.028395610924386104,0.4216498494138521,803,0.03879068905257613,0.07949066149194253,195,62,0.4358974358974359,0.5161290322580645
TechDev_52,cycle,long_tilted,0.02658865054885215,0.4518053313666389,803,0.04466563994488124,0.05515029626819092,162,0,0.3888888888888889,
ai_9684xtpa,onchain,neutral,0.025036388238884676,0.478654444244615,803,0.0005916312231687084,0.01353966804480341,0,0,,
paulbarron,content_creator,long_tilted,0.022913207272864687,0.516744989822511,803,0.04994552617815562,0.06837854318322767,220,1,0.44545454545454544,1.0
Pentosh1,content_creator,contrarian,0.01487173531172398,0.6739077515467683,803,0.026325697240001153,0.040211950314924985,0,2,,0.5
CryptoKaleo,mixed,long_tilted,0.013969622161551207,0.6926485340209494,803,0.04492030663021967,0.06828763688777188,189,0,0.43915343915343913,
Ninjascalp,mixed,contrarian,0.012136964099472234,0.7312937035090931,803,0.010897886392645396,0.019626502802655345,2,0,1.0,
CryptoNTez,mixed,long_tilted,0.007684740455990543,0.8278744781636029,803,0.017074039113135066,0.07166083165425739,123,97,0.34959349593495936,0.5360824742268041
TimmerFidelity,mixed,long_tilted,0.007140475336708908,0.8398941779117932,803,0.06586475860620825,0.07477386467509395,250,3,0.424,1.0
ewforecast,structural,neutral,-0.0004493882332602598,0.9898554966632729,803,0.030627765373756565,0.050456518987508345,81,0,0.4567901234567901,
WillyWoo,onchain,long_tilted,-0.004297841791293925,0.9032159097692497,803,0.054057475549491946,0.06122920123457676,227,0,0.41409691629955947,
matthughes13,mixed,contrarian,-0.008350985735453268,0.8132158008649731,803,0.05965787361375883,0.065989917505514,222,0,0.43243243243243246,
JamieSaettele,mixed,contrarian,-0.019245641306772667,0.5860496283378044,803,0.01751362117475696,0.02767220381301396,8,0,0.125,
EmberCN,mixed,neutral,-0.028888061191296523,0.41364060696851607,803,0.003974029680365298,0.02867765793083929,0,0,,
byzgeneral,derivatives,contrarian,-0.031138995108589217,0.3781918507136133,803,0.00498384261875243,0.024469632182575314,6,3,0.5,0.6666666666666666
VetleLunde,derivatives,long_tilted,-0.038751015347531344,0.27272936828566746,803,0.017806465192149158,0.02244239646460803,0,0,,
devchart,mixed,contrarian,-0.04721909032003306,0.18131383861546813,803,0.000436119999592802,0.053463254811256467,2,100,1.0,0.51
OnchainDataNerd,onchain,neutral,-0.04747226704521479,0.1789820596873744,803,0.006641760066417599,0.036811169533549785,0,0,,
TraderMercury,pure_TA,long_tilted,-0.0485099857270104,0.1696569287847166,803,0.024889933591083834,0.06060654618615453,92,1,0.3804347826086957,0.0
NickTimiraos,macro,neutral,-0.04882976588156508,0.16685791369399694,803,0.04592686389624343,0.05764896496428948,139,0,0.4892086330935252,
EWaveMonitor,pure_TA,neutral,-0.05202544179407109,0.14076203477205668,803,0.02714431687034427,0.08015512381897678,192,4,0.4166666666666667,1.0
Anbessa100,mixed,long_tilted,-0.05602867266253695,0.11263231965788413,803,0.014593795434607903,0.05146566178241931,32,3,0.34375,0.6666666666666666
Crypto_Birb,mixed,long_tilted,-0.05779322772983324,0.10173117438585401,803,0.013273476682806096,0.06236571675192668,30,14,0.3333333333333333,0.42857142857142855
GuruMemeCoin,mixed,long_tilted,-0.05943613440110205,0.09235160489453631,803,0.019146092063020554,0.05659780081099376,20,2,0.1,0.0
BigCheds,pure_TA,neutral,-0.06110738116813268,0.08353466552514473,803,0.008623236509354378,0.033600363017653755,0,0,,
krugermacro,macro,contrarian,-0.06317266941861686,0.07359248693672998,803,0.03310013918394257,0.05888994465490066,107,1,0.308411214953271,0.0
52kskew,derivatives,neutral,-0.06418229724583022,0.06909602514530486,803,0.014174664097971688,0.03596939077398843,0,0,,
laojiucai123,mixed,short_tilted,-0.06862044710960917,0.051922282628687616,803,0.003907711927822739,0.06118048280442338,19,119,0.2631578947368421,0.4957983193277311
defi_mochi,mixed,contrarian,-0.06964091545205348,0.048523628479066896,803,0.014124360095282291,0.07133138085850764,84,116,0.40476190476190477,0.5086206896551724
gurgavin,content_creator,contrarian,-0.0711558276563977,0.04382347213078505,803,0.042366061936726825,0.0821223651970067,277,82,0.4259927797833935,0.5487804878048781
GarethSoloway,mixed,contrarian,-0.08919465205326367,0.011450680044143166,803,0.019312575503228655,0.04571733372408324,22,3,0.2727272727272727,0.6666666666666666
MacroCRG,mixed,long_tilted,-0.09227436609002378,0.008888514431614564,803,0.02461549000590173,0.029256902376257866,5,0,0.4,
